Interval,Top Keyword,Count,sentiment
2007Q1,bag,11,neutral
2007Q1,ant,7,neutral
2007Q1,murder,7,negative
2007Q1,water,6,neutral
2007Q1,world,6,neutral
2007Q1,cup,6,neutral
2007Q1,mac,5,neutral
2007Q1,aged,5,neutral
2007Q1,care,5,neutral
2007Q1,art,4,positive
2007Q1,youth,4,neutral
2007Q1,air,4,neutral
2007Q1,drug,4,neutral
2007Q1,flood,4,neutral
2007Q1,seek,4,neutral
2007Q1,counsel,3,neutral
2007Q1,ferry,3,neutral
2007Q1,cane,3,neutral
2007Q1,arch,3,neutral
2007Q1,anti,3,neutral
2007Q1,recycled,3,neutral
2007Q1,bomb,3,neutral
2007Q1,takeover,3,neutral
2007Q1,council,3,neutral
2007Q1,hawk,3,neutral
2007Q1,black,3,neutral
2007Q1,arm,3,neutral
2007Q1,riot,2,neutral
2007Q1,weather,2,neutral
2007Q1,apple,2,positive
2007Q1,tax,2,neutral
2007Q1,plane,2,neutral
2007Q1,minister,2,neutral
2007Q1,pollution,2,neutral
2007Q1,can,2,neutral
2007Q1,buy,2,neutral
2007Q1,ambulance,2,neutral
2007Q1,cargo,2,neutral
2007Q1,bird,2,neutral
2007Q1,flu,2,neutral
2007Q1,cancer,2,neutral
2007Q1,fund,2,neutral
2007Q1,hill,2,neutral
2007Q1,all,2,neutral
2007Q1,airs,2,neutral
2007Q1,port,2,neutral
2007Q1,environmental,2,neutral
2007Q1,iron,2,neutral
2007Q1,force,2,neutral
2007Q1,attack,2,neutral
2007Q2,sex,8,neutral
2007Q2,can,6,neutral
2007Q2,care,6,neutral
2007Q2,uranium,5,neutral
2007Q2,home,5,neutral
2007Q2,murder,5,negative
2007Q2,child,5,neutral
2007Q2,price,5,neutral
2007Q2,fixing,5,neutral
2007Q2,climate,4,neutral
2007Q2,change,4,neutral
2007Q2,tiger,4,neutral
2007Q2,radio,4,neutral
2007Q2,affordable,4,neutral
2007Q2,housing,4,neutral
2007Q2,drought,4,neutral
2007Q2,aged,4,neutral
2007Q2,cup,3,neutral
2007Q2,solo,3,neutral
2007Q2,tsunami,3,neutral
2007Q2,mac,3,neutral
2007Q2,apple,3,positive
2007Q2,anti,3,neutral
2007Q2,protest,3,neutral
2007Q2,water,3,neutral
2007Q2,war,3,neutral
2007Q2,criminal,3,negative
2007Q2,euro,3,neutral
2007Q2,solar,3,neutral
2007Q2,off,3,neutral
2007Q2,car,3,neutral
2007Q2,bill,3,neutral
2007Q2,centre,3,neutral
2007Q2,community,3,neutral
2007Q2,takeover,3,neutral
2007Q2,fat,3,neutral
2007Q2,health,3,neutral
2007Q2,mayor,3,neutral
2007Q2,mum,3,neutral
2007Q2,death,3,negative
2007Q2,ambulance,3,neutral
2007Q2,internet,2,neutral
2007Q2,bounty,2,neutral
2007Q2,age,2,neutral
2007Q2,theft,2,negative
2007Q2,algae,2,neutral
2007Q2,disaster,2,negative
2007Q2,law,2,neutral
2007Q2,road,2,neutral
2007Q2,rap,2,neutral
2007Q3,interview,13,neutral
2007Q3,suicide,9,negative
2007Q3,horse,9,neutral
2007Q3,terrorism,8,negative
2007Q3,air,7,neutral
2007Q3,anti,7,neutral
2007Q3,flood,6,neutral
2007Q3,child,6,neutral
2007Q3,flu,6,neutral
2007Q3,bar,5,neutral
2007Q3,bra,5,neutral
2007Q3,climate,5,neutral
2007Q3,mayor,5,neutral
2007Q3,mill,5,neutral
2007Q3,and,5,neutral
2007Q3,aged,5,neutral
2007Q3,care,5,neutral
2007Q3,beat,4,neutral
2007Q3,change,4,neutral
2007Q3,sex,4,neutral
2007Q3,abuse,4,neutral
2007Q3,attack,4,neutral
2007Q3,housing,4,neutral
2007Q3,bag,4,neutral
2007Q3,bang,4,neutral
2007Q3,bomb,4,neutral
2007Q3,power,3,neutral
2007Q3,gas,3,neutral
2007Q3,drug,3,neutral
2007Q3,art,3,positive
2007Q3,home,3,neutral
2007Q3,gold,3,positive
2007Q3,pat,3,neutral
2007Q3,health,3,neutral
2007Q3,season,3,neutral
2007Q3,blast,3,positive
2007Q3,pulp,3,neutral
2007Q3,can,3,neutral
2007Q3,centre,3,neutral
2007Q3,all,3,neutral
2007Q3,protest,3,neutral
2007Q3,government,3,neutral
2007Q3,grand,3,neutral
2007Q3,amalgamation,3,neutral
2007Q3,court,3,neutral
2007Q3,strike,2,neutral
2007Q3,world,2,neutral
2007Q3,ambulance,2,neutral
2007Q3,bail,2,neutral
2007Q3,trade,2,neutral
2007Q4,ant,7,neutral
2007Q4,suicide,7,negative
2007Q4,climate,6,neutral
2007Q4,centre,5,neutral
2007Q4,murder,5,negative
2007Q4,sex,5,neutral
2007Q4,change,5,neutral
2007Q4,bush,4,neutral
2007Q4,bra,4,neutral
2007Q4,school,4,neutral
2007Q4,assault,4,negative
2007Q4,attack,4,neutral
2007Q4,anti,4,neutral
2007Q4,abuse,4,neutral
2007Q4,can,4,neutral
2007Q4,alcohol,4,neutral
2007Q4,air,4,neutral
2007Q4,bomb,4,neutral
2007Q4,bag,4,neutral
2007Q4,arch,4,neutral
2007Q4,bar,3,neutral
2007Q4,and,3,neutral
2007Q4,south,3,neutral
2007Q4,pulp,3,neutral
2007Q4,mill,3,neutral
2007Q4,health,3,neutral
2007Q4,cup,3,neutral
2007Q4,wind,3,neutral
2007Q4,farm,3,neutral
2007Q4,election,3,neutral
2007Q4,abortion,3,neutral
2007Q4,parole,3,neutral
2007Q4,care,3,neutral
2007Q4,child,3,neutral
2007Q4,con,3,neutral
2007Q4,car,3,neutral
2007Q4,stabbing,3,negative
2007Q4,court,3,neutral
2007Q4,rape,3,neutral
2007Q4,net,3,neutral
2007Q4,tiger,3,neutral
2007Q4,ale,3,neutral
2007Q4,flood,3,neutral
2007Q4,boxing,3,neutral
2007Q4,review,2,neutral
2007Q4,mental,2,neutral
2007Q4,hospital,2,neutral
2007Q4,gold,2,positive
2007Q4,refugee,2,neutral
2007Q4,robbery,2,neutral
2008Q1,murder,8,negative
2008Q1,sex,8,neutral
2008Q1,ant,7,neutral
2008Q1,heat,6,neutral
2008Q1,aged,5,neutral
2008Q1,care,5,neutral
2008Q1,interview,5,neutral
2008Q1,algae,4,neutral
2008Q1,bag,4,neutral
2008Q1,suicide,4,negative
2008Q1,club,4,neutral
2008Q1,whale,4,neutral
2008Q1,coast,4,neutral
2008Q1,blast,4,positive
2008Q1,abuse,4,neutral
2008Q1,power,4,neutral
2008Q1,child,4,neutral
2008Q1,east,4,neutral
2008Q1,music,3,neutral
2008Q1,baby,3,positive
2008Q1,water,3,neutral
2008Q1,air,3,neutral
2008Q1,arm,3,neutral
2008Q1,gold,3,positive
2008Q1,sun,3,neutral
2008Q1,drug,3,neutral
2008Q1,rape,3,neutral
2008Q1,ledge,3,neutral
2008Q1,fraud,3,negative
2008Q1,day,3,neutral
2008Q1,rights,3,neutral
2008Q1,fly,3,neutral
2008Q1,home,3,neutral
2008Q1,eagle,3,neutral
2008Q1,heroin,3,positive
2008Q1,tourism,3,neutral
2008Q1,nuclear,3,neutral
2008Q1,anti,3,neutral
2008Q1,assault,2,negative
2008Q1,red,2,neutral
2008Q1,drought,2,neutral
2008Q1,rap,2,neutral
2008Q1,murderer,2,negative
2008Q1,loan,2,neutral
2008Q1,thief,2,negative
2008Q1,health,2,neutral
2008Q1,flood,2,neutral
2008Q1,blood,2,neutral
2008Q1,pool,2,neutral
2008Q1,surgery,2,neutral
2008Q2,interview,23,neutral
2008Q2,torch,6,neutral
2008Q2,murder,6,negative
2008Q2,tax,6,neutral
2008Q2,fuel,6,neutral
2008Q2,bag,5,neutral
2008Q2,water,5,neutral
2008Q2,assault,5,negative
2008Q2,sex,5,neutral
2008Q2,child,4,neutral
2008Q2,cannabis,4,neutral
2008Q2,anti,4,neutral
2008Q2,air,4,neutral
2008Q2,drug,4,neutral
2008Q2,abuse,4,neutral
2008Q2,lock,4,neutral
2008Q2,doom,3,neutral
2008Q2,man,3,neutral
2008Q2,coal,3,neutral
2008Q2,blast,3,positive
2008Q2,carbon,3,neutral
2008Q2,rape,3,neutral
2008Q2,war,3,neutral
2008Q2,same,3,neutral
2008Q2,time,3,neutral
2008Q2,trading,3,neutral
2008Q2,energy,3,neutral
2008Q2,sect,2,neutral
2008Q2,mother,2,neutral
2008Q2,school,2,neutral
2008Q2,wall,2,neutral
2008Q2,bridge,2,neutral
2008Q2,act,2,neutral
2008Q2,election,2,neutral
2008Q2,rap,2,neutral
2008Q2,road,2,neutral
2008Q2,cost,2,neutral
2008Q2,bomb,2,neutral
2008Q2,bra,2,neutral
2008Q2,park,2,neutral
2008Q2,hawk,2,neutral
2008Q2,change,2,neutral
2008Q2,orbit,2,neutral
2008Q2,cold,2,neutral
2008Q2,care,2,neutral
2008Q2,housing,2,neutral
2008Q2,stalk,2,neutral
2008Q2,burn,2,neutral
2008Q2,dog,2,neutral
2008Q2,killer,2,negative
2008Q3,interview,31,neutral
2008Q3,murder,7,negative
2008Q3,air,7,neutral
2008Q3,power,7,neutral
2008Q3,climate,6,neutral
2008Q3,rape,5,neutral
2008Q3,wall,5,neutral
2008Q3,carpenter,5,neutral
2008Q3,stabbing,4,negative
2008Q3,sex,4,neutral
2008Q3,change,4,neutral
2008Q3,suicide,4,negative
2008Q3,aged,4,neutral
2008Q3,care,4,neutral
2008Q3,school,4,neutral
2008Q3,criminal,4,negative
2008Q3,storm,4,neutral
2008Q3,child,4,neutral
2008Q3,centre,4,neutral
2008Q3,coal,3,neutral
2008Q3,protest,3,neutral
2008Q3,rap,3,neutral
2008Q3,force,3,neutral
2008Q3,youth,3,neutral
2008Q3,blast,3,positive
2008Q3,housing,3,neutral
2008Q3,cocaine,3,neutral
2008Q3,para,3,neutral
2008Q3,attack,3,neutral
2008Q3,mac,3,neutral
2008Q3,anti,3,neutral
2008Q3,war,3,neutral
2008Q3,flu,2,neutral
2008Q3,affairs,2,neutral
2008Q3,carbon,2,neutral
2008Q3,rights,2,neutral
2008Q3,extra,2,neutral
2008Q3,salt,2,neutral
2008Q3,traffic,2,neutral
2008Q3,controller,2,neutral
2008Q3,bio,2,neutral
2008Q3,sing,2,neutral
2008Q3,internet,2,neutral
2008Q3,station,2,neutral
2008Q3,ball,2,neutral
2008Q3,affordable,2,neutral
2008Q3,drug,2,neutral
2008Q3,new,2,neutral
2008Q3,home,2,neutral
2008Q3,assault,2,negative
2008Q4,green,10,positive
2008Q4,care,7,neutral
2008Q4,aged,6,neutral
2008Q4,mum,5,neutral
2008Q4,drug,5,neutral
2008Q4,crisis,5,neutral
2008Q4,climate,5,neutral
2008Q4,change,5,neutral
2008Q4,act,5,neutral
2008Q4,protest,4,neutral
2008Q4,air,4,neutral
2008Q4,assault,4,negative
2008Q4,alcohol,4,neutral
2008Q4,mac,4,neutral
2008Q4,home,4,neutral
2008Q4,sex,4,neutral
2008Q4,suicide,4,negative
2008Q4,power,4,neutral
2008Q4,ant,4,neutral
2008Q4,bag,4,neutral
2008Q4,can,4,neutral
2008Q4,abortion,3,neutral
2008Q4,ale,3,neutral
2008Q4,slam,3,neutral
2008Q4,speed,3,neutral
2008Q4,murder,3,negative
2008Q4,lead,3,neutral
2008Q4,super,3,positive
2008Q4,bombing,3,neutral
2008Q4,school,3,neutral
2008Q4,con,3,neutral
2008Q4,train,3,neutral
2008Q4,blast,3,positive
2008Q4,music,3,neutral
2008Q4,boat,3,neutral
2008Q4,takeover,2,neutral
2008Q4,crime,2,neutral
2008Q4,animal,2,neutral
2008Q4,land,2,neutral
2008Q4,backpack,2,neutral
2008Q4,crash,2,neutral
2008Q4,milk,2,neutral
2008Q4,trial,2,neutral
2008Q4,refugee,2,neutral
2008Q4,earthquake,2,neutral
2008Q4,fast,2,neutral
2008Q4,uranium,2,neutral
2008Q4,ball,2,neutral
2008Q4,labor,2,neutral
2008Q4,bus,2,neutral
2009Q1,bush,12,neutral
2009Q1,act,8,neutral
2009Q1,bang,7,neutral
2009Q1,power,7,neutral
2009Q1,green,7,positive
2009Q1,murder,6,negative
2009Q1,home,6,neutral
2009Q1,sex,6,neutral
2009Q1,stimulus,6,neutral
2009Q1,suicide,6,negative
2009Q1,shooting,5,neutral
2009Q1,drug,5,neutral
2009Q1,child,5,neutral
2009Q1,air,5,neutral
2009Q1,anti,5,neutral
2009Q1,water,5,neutral
2009Q1,festival,4,neutral
2009Q1,people,4,neutral
2009Q1,airport,4,neutral
2009Q1,climate,4,neutral
2009Q1,cannabis,4,neutral
2009Q1,bank,3,neutral
2009Q1,rights,3,neutral
2009Q1,new,3,neutral
2009Q1,war,3,neutral
2009Q1,road,3,neutral
2009Q1,aged,3,neutral
2009Q1,care,3,neutral
2009Q1,ant,3,neutral
2009Q1,crime,3,neutral
2009Q1,black,3,neutral
2009Q1,coach,3,neutral
2009Q1,turkey,3,neutral
2009Q1,tourism,3,neutral
2009Q1,heat,3,neutral
2009Q1,bend,3,neutral
2009Q1,nickel,3,neutral
2009Q1,traffic,3,neutral
2009Q1,invasion,3,neutral
2009Q1,change,3,neutral
2009Q1,bust,3,neutral
2009Q1,heroin,3,positive
2009Q1,bombing,3,neutral
2009Q1,nursing,3,neutral
2009Q1,energy,3,neutral
2009Q1,protest,3,neutral
2009Q1,world,3,neutral
2009Q1,interview,3,neutral
2009Q1,year,2,neutral
2009Q1,mall,2,neutral
2009Q2,interview,45,neutral
2009Q2,flu,32,neutral
2009Q2,air,12,neutral
2009Q2,day,8,neutral
2009Q2,bang,7,neutral
2009Q2,murder,6,negative
2009Q2,land,6,neutral
2009Q2,housing,6,neutral
2009Q2,act,5,neutral
2009Q2,bar,5,neutral
2009Q2,health,5,neutral
2009Q2,suicide,5,negative
2009Q2,bush,5,neutral
2009Q2,can,5,neutral
2009Q2,child,4,neutral
2009Q2,home,4,neutral
2009Q2,war,4,neutral
2009Q2,rape,4,neutral
2009Q2,asylum,4,neutral
2009Q2,seek,4,neutral
2009Q2,self,4,neutral
2009Q2,prison,4,neutral
2009Q2,assault,4,negative
2009Q2,affordable,3,neutral
2009Q2,east,3,neutral
2009Q2,bag,3,neutral
2009Q2,public,3,neutral
2009Q2,bra,3,neutral
2009Q2,festival,3,neutral
2009Q2,drug,3,neutral
2009Q2,aged,3,neutral
2009Q2,care,3,neutral
2009Q2,robbery,3,neutral
2009Q2,attack,3,neutral
2009Q2,hall,3,neutral
2009Q2,service,3,neutral
2009Q2,turn,3,neutral
2009Q2,mark,3,neutral
2009Q2,flood,2,neutral
2009Q2,water,2,neutral
2009Q2,yacht,2,neutral
2009Q2,race,2,neutral
2009Q2,council,2,neutral
2009Q2,town,2,neutral
2009Q2,river,2,neutral
2009Q2,ski,2,neutral
2009Q2,dean,2,neutral
2009Q2,trafficking,2,neutral
2009Q2,road,2,neutral
2009Q2,nursing,2,neutral
2009Q3,murder,15,negative
2009Q3,flu,9,neutral
2009Q3,rape,9,neutral
2009Q3,assault,8,negative
2009Q3,sex,6,neutral
2009Q3,care,6,neutral
2009Q3,abortion,6,neutral
2009Q3,climate,5,neutral
2009Q3,fraud,5,negative
2009Q3,turn,5,neutral
2009Q3,school,4,neutral
2009Q3,jack,4,neutral
2009Q3,people,4,neutral
2009Q3,air,4,neutral
2009Q3,ball,4,neutral
2009Q3,black,4,neutral
2009Q3,drug,4,neutral
2009Q3,suicide,4,negative
2009Q3,war,4,neutral
2009Q3,power,4,neutral
2009Q3,bra,3,neutral
2009Q3,interview,3,neutral
2009Q3,queen,3,positive
2009Q3,range,3,neutral
2009Q3,alcohol,3,neutral
2009Q3,aged,3,neutral
2009Q3,bar,3,neutral
2009Q3,change,3,neutral
2009Q3,home,3,neutral
2009Q3,car,3,neutral
2009Q3,bush,3,neutral
2009Q3,extra,3,neutral
2009Q3,pay,3,neutral
2009Q3,lot,2,neutral
2009Q3,bullying,2,negative
2009Q3,festival,2,neutral
2009Q3,crash,2,neutral
2009Q3,airs,2,neutral
2009Q3,plan,2,neutral
2009Q3,accused,2,neutral
2009Q3,attacker,2,neutral
2009Q3,truck,2,neutral
2009Q3,rugby,2,neutral
2009Q3,mum,2,neutral
2009Q3,jail,2,neutral
2009Q3,ambulance,2,neutral
2009Q3,asylum,2,neutral
2009Q3,seek,2,neutral
2009Q3,bang,2,neutral
2009Q3,road,2,neutral
2009Q4,asylum,13,neutral
2009Q4,seek,12,neutral
2009Q4,bar,9,neutral
2009Q4,murder,8,negative
2009Q4,bush,7,neutral
2009Q4,alcohol,6,neutral
2009Q4,assault,6,negative
2009Q4,air,6,neutral
2009Q4,black,6,neutral
2009Q4,park,5,neutral
2009Q4,turn,5,neutral
2009Q4,run,5,neutral
2009Q4,bail,5,neutral
2009Q4,care,4,neutral
2009Q4,power,4,neutral
2009Q4,cup,4,neutral
2009Q4,abuse,4,neutral
2009Q4,climate,4,neutral
2009Q4,aged,3,neutral
2009Q4,wind,3,neutral
2009Q4,and,3,neutral
2009Q4,ale,3,neutral
2009Q4,nuclear,3,neutral
2009Q4,die,3,neutral
2009Q4,suicide,3,negative
2009Q4,car,3,neutral
2009Q4,sex,3,neutral
2009Q4,school,3,neutral
2009Q4,animal,3,neutral
2009Q4,crime,3,neutral
2009Q4,angle,3,neutral
2009Q4,ferry,3,neutral
2009Q4,blues,3,neutral
2009Q4,abbot,3,neutral
2009Q4,dub,2,neutral
2009Q4,scare,2,neutral
2009Q4,sum,2,neutral
2009Q4,rock,2,neutral
2009Q4,art,2,positive
2009Q4,science,2,neutral
2009Q4,tsunami,2,neutral
2009Q4,big,2,positive
2009Q4,bright,2,positive
2009Q4,mental,2,neutral
2009Q4,health,2,neutral
2009Q4,grand,2,neutral
2009Q4,slam,2,neutral
2009Q4,risk,2,neutral
2009Q4,warning,2,neutral
2009Q4,parking,2,neutral
2010Q1,murder,11,negative
2010Q1,iron,8,neutral
2010Q1,abuse,7,neutral
2010Q1,alcohol,7,neutral
2010Q1,assault,6,negative
2010Q1,sex,6,neutral
2010Q1,asylum,5,neutral
2010Q1,bust,4,neutral
2010Q1,seek,4,neutral
2010Q1,flood,4,neutral
2010Q1,road,4,neutral
2010Q1,child,4,neutral
2010Q1,bag,4,neutral
2010Q1,suicide,4,negative
2010Q1,bail,4,neutral
2010Q1,housing,4,neutral
2010Q1,centre,4,neutral
2010Q1,drug,4,neutral
2010Q1,air,4,neutral
2010Q1,can,4,neutral
2010Q1,stabbing,4,negative
2010Q1,new,3,neutral
2010Q1,year,3,neutral
2010Q1,bar,3,neutral
2010Q1,after,3,neutral
2010Q1,con,3,neutral
2010Q1,mac,3,neutral
2010Q1,black,3,neutral
2010Q1,aged,3,neutral
2010Q1,care,3,neutral
2010Q1,killer,3,negative
2010Q1,affordable,3,neutral
2010Q1,big,3,positive
2010Q1,tax,3,neutral
2010Q1,act,3,neutral
2010Q1,baby,3,positive
2010Q1,ore,3,neutral
2010Q1,face,3,neutral
2010Q1,storm,3,neutral
2010Q1,health,3,neutral
2010Q1,all,3,neutral
2010Q1,anti,3,neutral
2010Q1,ins,3,neutral
2010Q1,free,3,neutral
2010Q1,golden,3,positive
2010Q1,abbot,3,neutral
2010Q1,mater,3,neutral
2010Q1,bang,2,neutral
2010Q1,mud,2,neutral
2010Q1,who,2,neutral
2010Q2,asylum,12,neutral
2010Q2,bail,8,neutral
2010Q2,care,8,neutral
2010Q2,seek,8,neutral
2010Q2,murder,7,negative
2010Q2,cup,7,neutral
2010Q2,world,7,neutral
2010Q2,bang,6,neutral
2010Q2,drug,5,neutral
2010Q2,cannabis,5,neutral
2010Q2,aged,5,neutral
2010Q2,abortion,4,neutral
2010Q2,ash,4,neutral
2010Q2,bell,4,neutral
2010Q2,air,4,neutral
2010Q2,euro,4,neutral
2010Q2,abuse,4,neutral
2010Q2,can,4,neutral
2010Q2,health,4,neutral
2010Q2,sex,4,neutral
2010Q2,service,4,neutral
2010Q2,bar,3,neutral
2010Q2,bull,3,neutral
2010Q2,run,3,neutral
2010Q2,ins,3,neutral
2010Q2,river,3,neutral
2010Q2,job,3,neutral
2010Q2,child,3,neutral
2010Q2,day,3,neutral
2010Q2,green,3,positive
2010Q2,parking,3,neutral
2010Q2,emergency,3,neutral
2010Q2,port,3,neutral
2010Q2,bag,3,neutral
2010Q2,cancer,3,neutral
2010Q2,blast,3,positive
2010Q2,housing,3,neutral
2010Q2,war,2,neutral
2010Q2,bust,2,neutral
2010Q2,smuggling,2,neutral
2010Q2,drive,2,neutral
2010Q2,storm,2,neutral
2010Q2,camp,2,neutral
2010Q2,final,2,positive
2010Q2,grand,2,neutral
2010Q2,car,2,neutral
2010Q2,bomb,2,neutral
2010Q2,hit,2,neutral
2010Q2,drink,2,neutral
2010Q2,court,2,neutral
2010Q3,abbot,9,neutral
2010Q3,asylum,8,neutral
2010Q3,house,7,neutral
2010Q3,sex,6,neutral
2010Q3,final,6,positive
2010Q3,seek,6,neutral
2010Q3,care,6,neutral
2010Q3,water,6,neutral
2010Q3,grand,5,neutral
2010Q3,wall,5,neutral
2010Q3,drug,5,neutral
2010Q3,aged,5,neutral
2010Q3,green,5,positive
2010Q3,art,5,positive
2010Q3,assault,5,negative
2010Q3,black,5,neutral
2010Q3,death,4,negative
2010Q3,fire,4,neutral
2010Q3,arm,3,neutral
2010Q3,arms,3,neutral
2010Q3,cocaine,3,neutral
2010Q3,centre,3,neutral
2010Q3,health,3,neutral
2010Q3,dem,3,neutral
2010Q3,bomb,3,neutral
2010Q3,affordable,3,neutral
2010Q3,housing,3,neutral
2010Q3,youth,3,neutral
2010Q3,farm,3,neutral
2010Q3,sexual,3,neutral
2010Q3,park,3,neutral
2010Q3,sack,3,neutral
2010Q3,immigration,3,neutral
2010Q3,child,3,neutral
2010Q3,flood,3,neutral
2010Q3,bush,3,neutral
2010Q3,queen,3,positive
2010Q3,animal,3,neutral
2010Q3,building,3,neutral
2010Q3,wind,2,neutral
2010Q3,ale,2,neutral
2010Q3,treasury,2,neutral
2010Q3,con,2,neutral
2010Q3,kidnap,2,neutral
2010Q3,smug,2,neutral
2010Q3,off,2,neutral
2010Q3,protest,2,neutral
2010Q3,bail,2,neutral
2010Q3,room,2,neutral
2010Q3,manager,2,neutral
2010Q4,murder,9,negative
2010Q4,asylum,9,neutral
2010Q4,seek,7,neutral
2010Q4,abortion,6,neutral
2010Q4,bail,6,neutral
2010Q4,housing,6,neutral
2010Q4,camp,4,neutral
2010Q4,can,4,neutral
2010Q4,bang,4,neutral
2010Q4,blues,4,neutral
2010Q4,animal,4,neutral
2010Q4,affordable,4,neutral
2010Q4,air,4,neutral
2010Q4,flood,4,neutral
2010Q4,grand,3,neutral
2010Q4,met,3,neutral
2010Q4,health,3,neutral
2010Q4,mac,3,neutral
2010Q4,mental,3,neutral
2010Q4,home,3,neutral
2010Q4,detention,3,neutral
2010Q4,council,3,neutral
2010Q4,bar,3,neutral
2010Q4,life,3,neutral
2010Q4,anti,3,neutral
2010Q4,accused,3,neutral
2010Q4,election,3,neutral
2010Q4,alcohol,3,neutral
2010Q4,boxing,3,neutral
2010Q4,history,2,neutral
2010Q4,coal,2,neutral
2010Q4,final,2,positive
2010Q4,bra,2,neutral
2010Q4,park,2,neutral
2010Q4,terrorism,2,negative
2010Q4,extra,2,neutral
2010Q4,ambulance,2,neutral
2010Q4,market,2,neutral
2010Q4,warning,2,neutral
2010Q4,ale,2,neutral
2010Q4,black,2,neutral
2010Q4,death,2,negative
2010Q4,spring,2,neutral
2010Q4,pro,2,neutral
2010Q4,shooter,2,neutral
2010Q4,child,2,neutral
2010Q4,court,2,neutral
2010Q4,theft,2,negative
2010Q4,age,2,neutral
2010Q4,drag,2,neutral
2011Q1,flood,20,neutral
2011Q1,protest,8,neutral
2011Q1,care,8,neutral
2011Q1,carbon,8,neutral
2011Q1,coal,7,neutral
2011Q1,murder,7,negative
2011Q1,aged,7,neutral
2011Q1,seek,5,neutral
2011Q1,tax,5,neutral
2011Q1,asylum,4,neutral
2011Q1,prison,4,neutral
2011Q1,ant,4,neutral
2011Q1,alcohol,4,neutral
2011Q1,man,4,neutral
2011Q1,ass,4,neutral
2011Q1,blues,4,neutral
2011Q1,bail,4,neutral
2011Q1,apple,4,positive
2011Q1,air,4,neutral
2011Q1,drug,4,neutral
2011Q1,assault,4,negative
2011Q1,extra,4,neutral
2011Q1,bus,4,neutral
2011Q1,can,3,neutral
2011Q1,fire,3,neutral
2011Q1,house,3,neutral
2011Q1,black,3,neutral
2011Q1,river,3,neutral
2011Q1,government,3,neutral
2011Q1,bar,3,neutral
2011Q1,arms,3,neutral
2011Q1,face,3,neutral
2011Q1,rights,3,neutral
2011Q1,cup,3,neutral
2011Q1,time,3,neutral
2011Q1,crime,3,neutral
2011Q1,bang,3,neutral
2011Q1,cyclone,3,neutral
2011Q1,accused,3,neutral
2011Q1,milk,3,neutral
2011Q1,tsunami,3,neutral
2011Q1,fly,3,neutral
2011Q1,ben,3,neutral
2011Q1,nuclear,2,neutral
2011Q1,stamped,2,neutral
2011Q1,bra,2,neutral
2011Q1,mac,2,neutral
2011Q1,power,2,neutral
2011Q1,escape,2,neutral
2011Q1,lead,2,neutral
2011Q2,asylum,15,neutral
2011Q2,seek,12,neutral
2011Q2,bar,10,neutral
2011Q2,drug,9,neutral
2011Q2,queen,8,positive
2011Q2,bail,7,neutral
2011Q2,protest,7,neutral
2011Q2,arm,6,neutral
2011Q2,can,6,neutral
2011Q2,day,6,neutral
2011Q2,animal,5,neutral
2011Q2,carbon,5,neutral
2011Q2,tax,5,neutral
2011Q2,bust,5,neutral
2011Q2,cup,5,neutral
2011Q2,ant,5,neutral
2011Q2,cattle,5,neutral
2011Q2,air,4,neutral
2011Q2,health,4,neutral
2011Q2,house,4,neutral
2011Q2,sex,4,neutral
2011Q2,abuse,4,neutral
2011Q2,after,4,neutral
2011Q2,and,4,neutral
2011Q2,east,4,neutral
2011Q2,force,4,neutral
2011Q2,blues,4,neutral
2011Q2,anti,3,neutral
2011Q2,poker,3,neutral
2011Q2,food,3,neutral
2011Q2,self,3,neutral
2011Q2,bang,3,neutral
2011Q2,coal,3,neutral
2011Q2,water,3,neutral
2011Q2,cannabis,3,neutral
2011Q2,suicide,3,negative
2011Q2,bin,3,neutral
2011Q2,laden,3,neutral
2011Q2,government,3,neutral
2011Q2,new,3,neutral
2011Q2,blast,3,positive
2011Q2,ash,3,neutral
2011Q2,plan,3,neutral
2011Q2,farm,3,neutral
2011Q2,apartheid,3,neutral
2011Q2,aged,3,neutral
2011Q2,care,3,neutral
2011Q2,bush,3,neutral
2011Q2,home,2,neutral
2011Q2,invasion,2,neutral
2011Q3,carbon,11,neutral
2011Q3,tax,10,neutral
2011Q3,tiger,7,neutral
2011Q3,queen,7,positive
2011Q3,bar,7,neutral
2011Q3,air,6,neutral
2011Q3,council,6,neutral
2011Q3,asylum,6,neutral
2011Q3,murder,5,negative
2011Q3,seek,5,neutral
2011Q3,child,5,neutral
2011Q3,marriage,5,neutral
2011Q3,bush,5,neutral
2011Q3,care,4,neutral
2011Q3,bail,4,neutral
2011Q3,bull,4,neutral
2011Q3,coal,4,neutral
2011Q3,crow,4,neutral
2011Q3,can,4,neutral
2011Q3,takeover,4,neutral
2011Q3,bomb,3,neutral
2011Q3,drug,3,neutral
2011Q3,cattle,3,neutral
2011Q3,scandal,3,neutral
2011Q3,space,3,neutral
2011Q3,station,3,neutral
2011Q3,gas,3,neutral
2011Q3,all,3,neutral
2011Q3,war,3,neutral
2011Q3,act,3,neutral
2011Q3,green,3,positive
2011Q3,foot,3,neutral
2011Q3,time,3,neutral
2011Q3,life,3,neutral
2011Q3,same,3,neutral
2011Q3,sex,3,neutral
2011Q3,court,3,neutral
2011Q3,wall,3,neutral
2011Q3,abbot,3,neutral
2011Q3,farm,3,neutral
2011Q3,house,3,neutral
2011Q3,blues,3,neutral
2011Q3,met,3,neutral
